Instruction       Length  Name                            Flags         
                                                          C   Z  P/V  S   N   H
ADC  A,(HL)       7       Add with Carry (HL)             X | X | V | X | 0 | X
OUT  (C),r        12      Output Register to Port (C)       |   |   |   |   |  
OUT  (n),A        11      Output Acc to Port (n)            |   |   |   |   |  
OUTD              16      Output and Decrement              | X | # | # | 1 | #
OUTI              16      Output and Increment              | X | # | # | 1 | #
POP  rr           10      Pop Reg16 from Stack              |   |   |   |   |  
POP  Ix           14      Pop Ix from Stack                 |   |   |   |   |  
PUSH rr           11      Push Reg16 to Stack               |   |   |   |   |  
PUSH Ix           15      Push Ix to Stack                  |   |   |   |   |  
RES  b,(HL)       15      Reset Bit (HL)                    |   |   |   |   |  
RES  b,(Ix+d)     23      Reset Bit Indexed                 |   |   |   |   |  
RES  b,r          8       Reset Bit Register                |   |   |   |   |  
RET               10      Return Unconditional              |   |   |   |   |  
RET  cc           5/11    Return Conditional                |   |   |   |   |  
RETI              14      Return from Interrupt             |   |   |   |   |  
RETN              14      Return from Non-maskable Int      |   |   |   |   |  
RL   (HL)         15      Rotate Left (HL)                X | X | P | X | 0 | 0
RL   (Ix+d)       23      Rotate Left Indexed             X | X | P | X | 0 | 0
RL   r            8       Rotate Left Register            X | X | P | X | 0 | 0
RLA               4       Rotate Left Accumulator         X |   |   |   | 0 | 0
RLC  (HL)         15      Rotate Left Circular (HL)       X | X | P | X | 0 | 0
RLC  (Ix+d)       23      Rotate Left Circular Indexed    X | X | P | X | 0 | 0
RLC  r            8       Rotate Left Circular Register   X | X | P | X | 0 | 0
RLCA              4       Rotate Left Circular Acc        X | X | P | X | 0 | 0
RLD               18      Rotate Left Decimal               | X | P | X | 0 | 0
RR   (HL)         15      Rotate Right (HL)               X | X | P | X | 0 | 0
RR   (Ix+d)       23      Rotate Right Indexed            X | X | P | X | 0 | 0
RR   r            8       Rotate Right Register           X | X | P | X | 0 | 0
RRA               4       Rotate Right Accumulator        X |   |   |   | 0 | 0
RRC  (HL)         15      Rotate Right Circular (HL)      X | X | P | X | 0 | 0
RRC  (Ix+d)       23      Rotate Right Circular Indexed   X | X | P | X | 0 | 0
RRC  r            8       Rotate Right Circular Register  X | X | P | X | 0 | 0
RRCA              4       Rotate Right Circular Acc       X | X | P | X | 0 | 0
RRD               18      Rotate Right Decimal              |   |   |   |   |  
RST  n            11      Restart / Software Interrupt    # | # | # | # | # | #
SBC  A,n          7       Sub with Carry Immediate        X | X | V | X | 1 | X
SBC  A,(HL)       7       Sub with Carry (HL)             X | X | V | X | 1 | X
SBC  A,(Ix+d)     19      Sub with Carry Indexed          X | X | V | X | 1 | X
SBC  A,r          4       Sub with Carry Register         X | X | V | X | 1 | X
SBC  HL,rr        15      Sub with Carry HL, Reg16        X | X | V | X | 1 | X
SCF               4       Set Carry Flag                  1 |   |   |   | 0 | 0
SET  b,(HL)       15      Set Bit (HL)                      |   |   |   |   |  
SET  b,(Ix+d)     23      Set Bit Indexed                   |   |   |   |   |  
SET  b,r          8       Set Bit Register                  |   |   |   |   |  
SLA  (HL)         15      Shift Left Arithmetic (HL)      X | X | P | X | 0 | 0
SLA  (Ix+d)       23      Shift Left Arithmetic Indexed   X | X | P | X | 0 | 0
SLA  r            8       Shift Left Arithmetic Register  X | X | P | X | 0 | 0
SRA  (HL)         15      Shift Right Arithmetic (HL)     X | X | P | X | 0 | 0
SRA  (Ix+d)       23      Shift Right Arithmetic Indexed  X | X | P | X | 0 | 0
SRA  r            8       Shift Right Arithmetic Register X | X | P | X | 0 | 0
SLR  (HL)         15      Shift Left Logical (HL)         X | X | P | X | 0 | 0
SLR  (Ix+d)       23      Shift Left Logical Indexed      X | X | P | X | 0 | 0
SLR  r            8       Shift Left Logical Register     X | X | P | X | 0 | 0
SUB  (HL)         7       Subtract (HL)                   X | X | V | X | 1 | X
SUB  (Ix+d)       19      Subtract Indexed                X | X | V | X | 1 | X
SUB  r            4       Subtract Register               X | X | V | X | 1 | X
SUB  n            7       Subtract Immediate              X | X | V | X | 1 | X
XOR  (HL)         7       Logical XOR (HL)                0 | X | P | X | 0 | 0
XOR  (Ix+d)       19      Logical XOR Indexed             0 | X | P | X | 0 | 0
XOR  r            4       Logical XOR Register            0 | X | P | X | 0 | 0
XOR  n            7       Logical XOR Immediate           0 | X | P | X | 0 | 0


Operands:
r    = 8-bit register (A, B, C, D, E, H, I, L, R)
rr   = 16-bit register (AF, BC, DE, HL, IX, IY, SP)
Ix   = Either IX or IY
n    = 8-bit number
nn   = 16-bit number
b    = Bit value (0-7)
d    = Offset onto IX or IY
e    = Offset destination address
cc   = Condition (flag)

Flags:
C    = Carry flag (C, NC)
Z    = Zero (Z, NZ)
P/V  = Parity/oVerflow (PO, PE)
S    = Sign (P, M)
N    = additioN
H    = Half carry

1    = Flag is set
0    = Flag is reset
X    = Flag is (re)set according to the operation
#    = Status is not important
P    = The P/V flag indicates Parity
V    = The P/V flag indicates oVerflow
?    = Status is unknown (undefined)

Length:
The length field is in T-states. 1 T-state is 1/4,000,000 seconds at 4MHz clock
